venuecode,LOOSE,PUNNET,line_setup,lat,long
BFU,1,0,only_loose,-28.5027958,20.1546833
BSH,0.36,0.64,loose_punnet,-28.4682801,20.0786017
KBS,0.46,0.54,loose_punnet,-28.6467501,19.5153365
KFP,0,1,only_punnet,,
KHR,1,0,only_loose,-28.7962012,20.63952
KKB,0,1,only_punnet,-28.7827683,20.7825948
KLP,0.6,0.4,loose_punnet,-28.9473069,18.9791706
KMV,0.37,0.64,loose_punnet,,
NGR,0.7,0.3,any,-28.6606952,21.1494937
RFO,0.67,0.33,loose_punnet,-28.6518541,21.1108454
RFP,0,1,only_punnet,-28.662098,21.1234071
RFY,0.73,0.28,any,-28.6614108,21.1238255
VGL,0.48,0.52,loose_punnet,,
KHK,,,,-28.795261,20.6404642
KHD,,,,-28.7952234,20.6408933
BST,,,,-28.4318575,19.99055
KPD,,,,-28.946875,18.9792135
